date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
109年 10月,45,47,3,41,26,21,8,7,11,14,5,8,7,12,6,8,3,3,6,2,－,－
109年 11月,60,52,4,36,34,26,8,7,5,25,9,9,17,12,18,5,1,13,11,7,－,－
109年 12月,37,56,542,51,30,19,5,19,80,19,16,10,5,15,11,15,4,12,10,3,5,－
110年 1月,41,44,49,41,14,22,3,13,10,21,12,5,7,16,15,9,－,9,11,3,－,－
110年 2月,29,29,28,33,17,20,7,9,5,12,5,4,4,9,8,8,－,9,4,2,1,－
110年 3月,35,44,41,40,25,34,5,17,10,25,8,6,12,9,7,3,3,12,15,7,2,－
110年 4月,44,38,22,39,31,31,12,4,7,19,5,7,5,19,1,11,5,6,14,7,2,1
110年 5月,30,39,75,49,20,30,6,12,7,17,13,6,4,24,2,4,3,14,7,2,2,－
110年 6月,13,20,16,43,12,17,1,2,5,6,4,4,6,14,3,4,1,5,6,1,－,－
110年 7月,33,32,38,44,18,33,13,5,9,21,4,8,9,13,9,6,1,6,16,1,－,－
110年 8月,61,37,33,35,22,32,9,20,8,8,7,10,7,13,4,2,－,4,10,2,1,1
110年 9月,89,45,73,47,21,25,6,13,18,15,6,4,11,8,4,7,2,11,7,5,2,1
110年 10月,39,24,82,43,33,31,6,12,13,20,6,13,12,5,8,6,3,4,6,9,－,1
110年 11月,48,56,74,51,27,25,5,15,12,14,6,10,4,6,9,6,3,10,15,3,4,－
110年 12月,72,37,71,44,25,28,12,10,10,18,3,17,5,11,10,6,1,5,11,5,－,－
111年 1月,63,48,40,41,24,26,12,6,10,13,7,3,4,11,9,8,1,6,8,6,－,1
111年 2月,44,40,50,42,20,28,10,3,6,16,2,6,9,17,8,12,－,3,7,2,2,－
111年 3月,37,39,33,55,34,29,11,11,4,20,6,8,8,9,3,12,1,6,8,10,1,－
111年 4月,50,42,58,53,23,23,6,9,9,24,6,17,8,12,10,13,4,10,13,3,2,－
111年 5月,44,39,67,66,18,31,11,25,5,19,7,5,6,11,4,6,3,5,10,6,1,－
111年 6月,46,31,55,45,22,25,11,9,17,14,6,6,4,8,6,19,1,7,14,6,－,－
111年 7月,55,58,42,46,24,43,9,17,9,18,6,14,10,7,9,12,2,9,8,4,－,－
111年 8月,41,59,72,34,34,27,13,12,10,16,5,12,10,10,10,13,3,10,10,7,－,1
111年 9月,40,43,32,26,30,30,7,11,8,11,5,6,5,16,6,14,2,3,5,4,－,－
111年 10月,51,44,48,35,19,51,12,13,3,26,5,3,12,14,8,9,2,8,12,5,－,－
111年 11月,49,45,86,68,16,32,7,20,15,15,5,6,5,9,8,8,2,10,16,7,2,－
111年 12月,37,53,56,70,28,33,6,14,11,23,9,10,11,11,11,15,2,7,12,7,1,－
112年 1月,41,45,31,61,36,35,6,11,22,22,15,8,6,20,8,23,－,8,8,1,2,－
112年 2月,146,48,42,52,33,29,8,12,9,9,7,15,7,17,6,15,－,6,4,1,2,－
112年 3月,70,41,40,64,36,42,8,8,13,25,6,12,4,16,18,18,2,10,12,7,－,2
112年 4月,45,42,62,45,27,34,9,11,8,20,14,12,10,22,12,7,2,9,7,7,－,1
112年 5月,64,64,43,60,34,29,9,5,10,18,17,9,13,14,13,15,3,8,15,3,1,－
112年 6月,54,62,46,42,20,32,3,10,10,28,5,11,7,16,12,6,3,10,14,4,1,2
112年 7月,74,48,49,57,50,34,5,15,17,28,13,23,13,26,6,21,1,13,17,8,1,－
112年 8月,43,60,49,65,30,48,9,13,4,17,5,9,1,27,10,6,－,15,14,6,－,－
112年 9月,48,36,68,59,27,30,8,13,11,22,5,9,7,14,8,15,4,5,8,5,4,－
112年 10月,64,61,50,61,27,31,13,10,11,19,6,9,5,23,6,11,3,7,16,6,5,1
